2026-01-04 14:41:57,318 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 14:41:57,470 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 14:41:57,622 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 14:41:58,670 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 14:41:59,015 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 14:41:59,443 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 14:41:59,725 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 14:41:59,728 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 14:41:59,729 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 14:41:59,730 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 14:41:59,731 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 14:42:00,281 WARNING: Rate limit exceeded for anonymous user - IP: None, Endpoint: courts.get_availability, User-Agent: Unknown [in /Users/woifh/tcz/app/routes/courts.py:33]
2026-01-04 14:59:36,200 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 14:59:36,365 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 14:59:36,514 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 14:59:38,154 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 14:59:38,445 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 14:59:38,857 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 14:59:39,591 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 14:59:39,609 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 14:59:39,612 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 14:59:39,614 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 14:59:39,617 INFO: Anonymous access - Endpoint: /courts/availability, IP: 127.0.0.1, User-Agent: Werkzeug/3.1.4 [in /Users/woifh/tcz/app/routes/courts.py:24]
2026-01-04 14:59:40,599 WARNING: Rate limit exceeded for anonymous user - IP: None, Endpoint: courts.get_availability, User-Agent: Unknown [in /Users/woifh/tcz/app/routes/courts.py:33]
